,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,REG_FEE,COMMIS,SALES_PRICE,Year Sale,Year Build,SALES_PRICE_LAKHS
3171,Adyar,1259,2011-08-13,26,2,2,4,Normal Sale,Yes,1975-08-22,Commercial,ELO,Gravel,RH,484766,106043,15148940,2011,1975,15.15
3172,Anna Nagar,1555,2010-12-30,43,1,1,4,Family,Yes,1994-03-01,Commercial,No Sewage,Paved,RL,561663,355720,18722090,2010,1994,18.72
3173,Karapakkam,1033,2009-10-16,181,1,1,3,partial,No,1983-10-23,House,No Sewage,No Access,C,134508,73368,4076000,2009,1983,4.08
3174,Karapakkam,1275,2010-12-04,116,1,1,3,partial,No,1987-04-18,House,All Pub,Gravel,RM,269816,168635,8431750,2010,1987,8.43
3175,KK Nagar,1916,2009-09-10,11,3,2,5,Adj Land,No,1996-12-10,Others,No Sewage,Gravel,RH,420652,143907,11069780,2009,1996,11.07
3176,Chrompet,714,2009-01-12,76,1,1,2,Normal Sale,Yes,1995-05-12,House,All Pub,No Access,RH,175993,91516,7039700,2009,1995,7.04
3177,KK Nagar,1488,2010-07-27,185,2,1,4,partial,No,2002-07-29,Commercial,No Sewage,Paved,RH,527646,287807,11991960,2010,2002,11.99
3178,Karapakkam,1591,2011-07-19,43,2,2,4,Abnormal,Yes,1966-07-30,House,No Sewage,No Access,RM,382503,165172,8693250,2011,1966,8.69
3179,Chrompet,1075,2010-12-02,190,1,1,3,Adj Land,Yes,2002-02-14,House,ELO,No Access,RM,282611,136433,9745200,2010,2002,9.75
3180,KK Nagar,1603,2009-06-06,181,2,1,4,Adj Land,Yes,1991-11-06,House,No Sewage,Paved,RH,409532,243769,9750760,2009,1991,9.75
3181,KK Nagar,1852,2012-03-27,148,3,2,5,Abnormal,Yes,2004-03-29,House,No Sewage,Gravel,RH,333894,183103,10770760,2012,2004,10.77
3182,Karapakkam,1504,2011-08-15,129,2,2,4,Adj Land,No,1970-08-25,House,No Sewage,Gravel,C,207878,154232,6705750,2011,1970,6.71
3183,KK Nagar,1950,2010-01-29,189,3,2,5,Normal Sale,No,1988-04-02,Commercial,No Sewage,Gravel,RH,602996,293767,15461440,2010,1988,15.46
3184,Adyar,1279,2007-02-16,44,2,2,4,Abnormal,No,1990-02-20,Commercial,No Sewage,Paved,I,453580,137449,13744855,2007,1990,13.74
3185,Anna Nagar,1931,2014-08-08,164,2,1,5,Normal Sale,No,1982-08-16,Others,All Pub,No Access,RL,403988,201994,13466270,2014,1982,13.47
3186,Adyar,1066,2009-01-29,197,1,1,3,Adj Land,No,1971-08-02,Commercial,All Pub,Paved,I,434292,120637,12063670,2009,1971,12.06
3187,Karapakkam,651,2010-05-03,139,1,1,2,Abnormal,Yes,1978-03-13,House,No Sewage,Paved,RL,276423,72397,6581500,2010,1978,6.58
3188,Chrompet,809,2009-06-12,88,1,1,3,Family,No,1989-11-12,House,No Sewage,Paved,RL,201426,86326,7193800,2009,1989,7.19
3189,Karapakkam,1363,2011-12-13,117,2,2,4,Abnormal,Yes,1963-12-25,Others,All Pub,Gravel,C,281593,152213,7610625,2011,1963,7.61
3190,Chrompet,897,2009-01-24,178,1,1,3,partial,No,1989-01-29,Others,All Pub,No Access,RH,189618,98320,7022890,2009,1989,7.02
3191,Karapakkam,630,2009-08-12,97,1,1,2,Normal Sale,No,2002-10-12,Commercial,ELO,No Access,C,209843,64951,4996250,2009,2002,5.0
3192,Adyar,678,2010-08-22,3,1,1,2,Abnormal,Yes,1981-08-29,House,ELO,Paved,A,195794,48949,5438735,2010,1981,5.44
3193,Chrompet,740,2008-12-31,155,1,1,2,Family,No,1997-03-01,Others,All Pub,Gravel,RL,233520,88576,8052400,2008,1997,8.05
3194,KK Nagar,1507,2012-03-24,88,2,1,4,Abnormal,Yes,2005-03-26,Commercial,No Sewage,Gravel,RM,656711,305447,15272340,2012,2005,15.27
3195,Adyar,999,2011-07-08,191,1,1,3,Adj Land,No,1973-08-16,Commercial,No Sewage,No Access,RL,370341,83625,11946470,2011,1973,11.95
3196,Karapakkam,1632,2009-11-20,156,2,2,4,Normal Sale,No,1986-11-26,Commercial,No Sewage,No Access,RL,564492,258726,11760250,2009,1986,11.76
3197,Karapakkam,1162,2009-07-16,132,1,1,3,Normal Sale,Yes,1969-07-26,Others,All Pub,No Access,RM,276301,66982,8372750,2009,1969,8.37
3198,KK Nagar,2042,2012-10-02,126,3,2,5,Abnormal,Yes,1986-02-16,Commercial,All Pub,Paved,RL,769757,342114,17105720,2012,1986,17.11
3199,KK Nagar,1321,2011-12-04,158,1,1,3,Family,No,2006-04-13,House,No Sewage,Gravel,RM,419486,158472,9321900,2011,2006,9.32
3200,Adyar,661,2007-02-09,88,1,1,2,Normal Sale,No,1990-06-09,Commercial,No Sewage,No Access,C,263583,21965,7321755,2007,1990,7.32
3201,Karapakkam,1275,2011-01-30,73,1,1,3,partial,No,1970-09-02,Commercial,All Pub,Paved,RL,436439,162396,10149750,2011,1970,10.15
3202,T Nagar,1991,2009-07-28,139,2,1,5,Abnormal,Yes,1997-07-31,Commercial,All Pub,Gravel,RH,731292,137117,22852890,2009,1997,22.85
3203,Chrompet,998,2010-02-10,105,1,1,3,Adj Land,Yes,1980-09-10,House,No Sewage,No Access,RL,258903,120821,8630100,2010,1980,8.63
3204,Velachery,1904,2006-09-21,68,3,2,5,Family,Yes,1955-04-10,Others,ELO,Paved,I,329723,169858,9991620,2006,1955,9.99
3205,T Nagar,1655,2012-02-10,184,1,1,4,Adj Land,No,1974-12-10,Others,No Sewage,Gravel,RM,528381,69524,13904760,2012,1974,13.9
3206,Velachery,1644,2012-03-18,139,2,1,4,Adj Land,No,1979-03-27,Others,All Pub,Paved,RM,424361,108811,10881060,2012,1979,10.88
3207,Anna Nagar,1804,2009-10-06,32,2,1,5,Abnormal,Yes,1967-06-21,House,No Sewage,Gravel,RL,336275,107608,13450990,2009,1967,13.45
3208,Chrompet,1216,2013-05-05,4,2,1,4,partial,Yes,1997-09-05,Commercial,All Pub,Gravel,RM,487556,267369,15727600,2013,1997,15.73
3209,Velachery,1716,2008-07-07,20,2,1,4,Abnormal,Yes,2000-09-07,House,All Pub,Gravel,C,336109,86428,9603110,2008,2000,9.6
3210,Adyar,991,2011-05-14,133,1,1,3,partial,Yes,1975-05-23,Commercial,All Pub,Paved,RM,453646,13747,13746840,2011,1975,13.75
3211,Adyar,1078,2008-12-15,109,1,1,3,Normal Sale,Yes,1989-12-20,Commercial,All Pub,Gravel,C,459507,170674,13128785,2008,1989,13.13
3212,Velachery,1836,2005-08-19,17,3,2,5,Normal Sale,No,1955-01-09,Others,ELO,Paved,RL,327216,81804,10225500,2005,1955,10.23
3213,Karapakkam,1223,2010-07-22,192,1,1,3,partial,No,1980-07-29,Others,No Sewage,Gravel,RM,280818,76587,8509625,2010,1980,8.51
3214,Velachery,1655,2007-07-25,9,2,1,4,Abnormal,Yes,2001-07-26,House,All Pub,Paved,RH,340234,130089,10006870,2007,2001,10.01
3215,Chrompet,1192,2009-09-02,23,1,1,3,Normal Sale,No,1978-02-17,Others,ELO,No Access,RH,248226,136124,8007290,2009,1978,8.01
3216,Chrompet,732,2012-05-04,54,1,1,2,Adj Land,No,1985-12-04,Others,ELO,Paved,RH,199325,82479,6873290,2012,1985,6.87
3217,Karapakkam,970,2011-05-04,165,1,1,3,Normal Sale,No,1972-04-14,Others,ELO,No Access,RH,236236,53690,5369000,2011,1972,5.37
3218,Chrompet,1060,2007-05-08,36,1,1,3,Normal Sale,No,1975-08-13,Commercial,All Pub,Gravel,RH,342944,134728,12248000,2007,1975,12.25
3219,Chrompet,832,2006-10-25,98,1,1,3,Abnormal,Yes,1989-10-29,House,ELO,Paved,RL,278796,25345,8448350,2006,1989,8.45
3220,T Nagar,1990,2010-11-15,18,2,1,5,Abnormal,No,1966-11-26,Others,ELO,Gravel,RH,523827,220559,13784930,2010,1966,13.78
3221,KK Nagar,1919,2010-03-10,96,3,2,5,Abnormal,No,1997-06-10,Others,All Pub,Paved,RM,467218,163526,11680440,2010,1997,11.68
3222,KK Nagar,1994,2009-06-30,111,3,2,5,Normal Sale,Yes,1999-03-07,House,All Pub,Paved,RH,452574,154538,11038400,2009,1999,11.04
3223,Chrompet,1296,2006-12-26,145,2,1,4,Abnormal,Yes,1976-03-01,Others,ELO,Paved,RM,316982,135849,11320770,2006,1976,11.32
3224,Chrompet,704,2010-09-18,135,1,1,2,Family,No,1974-09-27,Commercial,No Sewage,Paved,RL,278814,107928,8994000,2010,1974,8.99
3225,Karapakkam,1321,2011-03-20,61,1,1,3,Family,Yes,2003-03-22,House,ELO,Gravel,RM,310384,106695,9699500,2011,2003,9.7
3226,Adyar,1070,2011-06-22,152,1,1,3,Normal Sale,No,2004-06-23,Commercial,No Sewage,Gravel,RM,462880,188045,14465005,2011,2004,14.47
3227,Karapakkam,888,2011-01-10,32,1,1,2,partial,No,1999-04-10,Others,No Sewage,Paved,C,205172,60619,4663000,2011,1999,4.66
3228,Chrompet,925,2011-12-10,164,1,1,3,Abnormal,Yes,1985-10-18,Others,All Pub,Paved,RM,269966,49994,9998750,2011,1985,10.0
3229,Chrompet,880,2008-12-06,144,1,1,3,Family,Yes,1989-06-17,House,No Sewage,No Access,RM,283960,34419,8604850,2008,1989,8.6
3230,Karapakkam,805,2011-09-25,119,1,1,2,partial,Yes,1963-07-10,Commercial,All Pub,Paved,A,263375,110250,6125000,2011,1963,6.12
3231,T Nagar,1777,2014-02-13,183,1,1,4,Normal Sale,Yes,1972-02-24,House,ELO,Paved,RM,468023,173837,13372090,2014,1972,13.37
3232,Anna Nagar,1703,2012-04-19,66,1,1,4,partial,No,2001-04-22,Commercial,No Sewage,No Access,RM,729771,280681,18712070,2012,2001,18.71
3233,T Nagar,1899,2007-11-19,22,2,1,5,Abnormal,Yes,1967-11-29,Commercial,All Pub,Paved,RM,802811,156102,22300300,2007,1967,22.3
3234,Chrompet,1169,2012-09-03,50,1,1,3,Adj Land,Yes,2008-10-03,Commercial,No Sewage,Gravel,RL,411793,152516,15251600,2012,2008,15.25
3235,Chrompet,819,2009-08-15,108,1,1,3,Family,No,1989-08-20,Others,ELO,Gravel,RL,206566,57838,8262630,2009,1989,8.26
3236,Anna Nagar,1814,2011-07-01,86,2,1,5,Adj Land,No,1977-01-15,House,All Pub,No Access,RL,312326,192200,12012530,2011,1977,12.01
3237,Chrompet,711,2008-06-08,16,1,1,2,Adj Land,No,1991-11-08,Commercial,All Pub,Paved,RH,317544,134716,9622550,2008,1991,9.62
3238,Anna Nagar,1669,2015-01-18,26,1,1,4,Family,Yes,1999-01-22,Commercial,All Pub,Gravel,RM,544402,293139,20938520,2015,1999,20.94
3239,Chrompet,1028,2012-12-20,158,1,1,3,Normal Sale,No,1990-12-26,Others,No Sewage,Paved,RM,264036,28290,9429860,2012,1990,9.43
3240,Chrompet,860,2012-07-21,34,1,1,3,Adj Land,Yes,1989-07-27,House,ELO,Gravel,RM,283227,29299,9766450,2012,1989,9.77
3241,Chrompet,1266,2011-05-29,123,2,1,4,Normal Sale,Yes,2002-05-31,House,All Pub,No Access,RH,300018,150009,9375550,2011,2002,9.38
3242,Anna Nagar,1906,2012-03-09,86,2,1,5,Adj Land,Yes,1971-09-14,Commercial,ELO,Gravel,RM,635941,295258,22712170,2012,1971,22.71
3243,KK Nagar,2178,2008-03-13,119,3,2,5,partial,No,1997-03-16,Commercial,No Sewage,Paved,RM,641433,190696,17336020,2008,1997,17.34
3244,Chrompet,1300,2008-04-02,73,2,1,4,Adj Land,No,2001-05-02,Commercial,All Pub,No Access,RL,402261,244230,14366450,2008,2001,14.37
3245,Velachery,1614,2004-11-22,166,2,1,4,partial,Yes,1994-11-25,Commercial,All Pub,Gravel,RL,590486,326321,15539100,2004,1994,15.54
3246,Adyar,1175,2010-12-30,200,1,1,3,Normal Sale,No,2000-02-01,Others,No Sewage,No Access,A,253374,70382,7038165,2010,2000,7.04
3247,Chrompet,1294,2011-09-28,117,2,1,4,Normal Sale,No,1981-05-10,House,No Sewage,Gravel,RL,256303,85434,9492700,2011,1981,9.49
3248,Chrompet,835,2012-05-03,45,1,1,3,Normal Sale,No,1982-03-13,Commercial,No Sewage,Gravel,RL,338071,76339,10905500,2012,1982,10.91
3249,T Nagar,1964,2015-03-01,117,2,1,5,Adj Land,No,2005-05-01,Commercial,No Sewage,Paved,RL,787504,393752,21875100,2015,2005,21.88
3250,Velachery,1754,2008-05-14,127,2,1,4,Abnormal,Yes,1988-05-19,Others,No Sewage,Paved,RM,392877,107148,11905350,2008,1988,11.91
3251,Anna Nagar,1866,2014-11-17,177,2,1,5,Abnormal,Yes,2001-11-20,Commercial,No Sewage,Paved,RM,775222,265791,22149210,2014,2001,22.15
3252,Velachery,1898,2011-09-10,87,3,2,5,Normal Sale,Yes,1957-10-22,Commercial,All Pub,No Access,I,525894,175298,14608180,2011,1957,14.61
3253,Chrompet,798,2007-12-25,20,1,1,2,Adj Land,No,1979-01-01,Others,No Sewage,No Access,RH,186094,33231,6646210,2007,1979,6.65
3254,T Nagar,1626,2013-04-10,170,1,1,4,Family,Yes,1988-10-10,Commercial,All Pub,No Access,RH,524134,234957,18073600,2013,1988,18.07
3255,KK Nagar,1657,2008-06-13,63,2,1,4,Adj Land,No,1990-06-18,House,No Sewage,Gravel,RH,355982,112416,9367960,2008,1990,9.37
3256,Velachery,1766,2011-04-25,169,2,1,4,Adj Land,Yes,1995-04-29,Commercial,ELO,Gravel,I,577269,327639,15601870,2011,1995,15.6
3257,Karapakkam,661,2010-11-05,122,1,1,2,Family,Yes,1984-05-17,House,No Sewage,Gravel,RM,302250,186000,7750000,2010,1984,7.75
3258,KK Nagar,2442,2010-10-24,64,4,2,6,Abnormal,Yes,1998-10-27,Commercial,All Pub,Paved,RL,983922,491961,19678440,2010,1998,19.68
3259,Adyar,914,2008-06-25,185,1,1,3,partial,No,1979-03-07,House,No Sewage,No Access,RM,300019,71057,7895235,2008,1979,7.9
3260,Chrompet,885,2011-02-11,32,1,1,3,Abnormal,No,1979-10-11,Commercial,No Sewage,Paved,RH,272376,131144,10088000,2011,1979,10.09
3261,Anna Nagar,1983,2010-07-14,46,2,1,5,Normal Sale,Yes,1989-07-19,Commercial,No Sewage,No Access,RM,720625,360312,22519520,2010,1989,22.52
3262,Anna Nagar,1522,2008-06-03,94,1,1,4,Normal Sale,Yes,1993-10-03,Others,All Pub,Paved,RM,503682,209867,13991160,2008,1993,13.99
3263,Anna Nagar,1970,2008-03-29,50,2,1,5,Family,Yes,1981-05-04,Others,No Sewage,No Access,RM,376087,210609,15043490,2008,1981,15.04
3264,Velachery,1572,2004-01-12,95,2,1,4,Abnormal,No,1974-09-12,Commercial,No Sewage,No Access,RM,504218,177158,13627500,2004,1974,13.63
3265,Anna Nagar,1507,2009-09-09,140,1,1,4,Abnormal,Yes,1999-12-09,Commercial,No Sewage,Gravel,RH,682215,258136,18438250,2009,1999,18.44
3266,KK Nagar,1330,2008-09-16,115,1,1,3,partial,No,2001-09-18,Commercial,No Sewage,Paved,RL,486594,201758,11868140,2008,2001,11.87
3267,KK Nagar,1373,2008-06-27,61,2,1,4,Normal Sale,Yes,2001-06-29,House,All Pub,Paved,RL,400797,78204,9775540,2008,2001,9.78
3268,Adyar,1118,2007-04-11,59,1,1,3,Abnormal,Yes,1972-12-11,House,ELO,Paved,I,273251,82803,8280325,2007,1972,8.28
3269,Anna Nagar,1591,2007-09-25,23,1,1,4,Normal Sale,No,1969-04-10,House,All Pub,Paved,RM,415918,59417,11883360,2007,1969,11.88
3270,KK Nagar,1404,2011-11-18,10,2,1,4,Abnormal,No,1997-11-21,House,No Sewage,Paved,RL,289390,195764,8511480,2011,1997,8.51
3271,Anna Nagar,1867,2009-06-23,117,2,1,5,partial,No,1993-06-27,Commercial,All Pub,No Access,RM,612608,102101,20420270,2009,1993,20.42
3272,KK Nagar,2479,2008-03-27,92,4,2,6,Family,No,1989-01-04,Others,No Sewage,Paved,RM,508551,117358,13039760,2008,1989,13.04
3273,KK Nagar,1768,2011-02-15,30,2,1,4,Normal Sale,Yes,1981-02-22,Commercial,No Sewage,Paved,RH,655803,320615,14573400,2011,1981,14.57
3274,Velachery,1650,2008-04-01,73,2,1,4,Normal Sale,Yes,2000-06-01,Others,ELO,Paved,C,352041,190292,9514610,2008,2000,9.51
3275,Adyar,1035,2009-04-05,166,1,1,3,Abnormal,No,2004-05-05,House,No Sewage,Paved,RL,299699,99900,9081775,2009,2004,9.08
3276,Chrompet,936,2010-02-20,182,1,1,3,Abnormal,Yes,1996-02-24,House,ELO,Gravel,RM,297369,109035,9912300,2010,1996,9.91
3277,Adyar,918,2012-02-04,5,1,1,3,partial,Yes,2000-05-04,Others,No Sewage,Paved,A,254199,7061,7061080,2012,2000,7.06
3278,Chrompet,785,2009-09-02,192,1,1,2,partial,Yes,2000-12-02,Others,No Sewage,Gravel,RH,237586,144248,8485200,2009,2000,8.49
3279,Chrompet,923,2014-12-04,200,1,1,3,Abnormal,Yes,1998-04-16,Commercial,All Pub,Gravel,RM,422834,150038,13639800,2014,1998,13.64
3280,Anna Nagar,1592,2011-03-05,110,1,1,4,Abnormal,Yes,1975-12-05,Commercial,No Sewage,Paved,RL,490180,113118,18853070,2011,1975,18.85
3281,KK Nagar,1350,2011-01-10,63,2,1,4,Family,Yes,1992-05-10,Commercial,No Sewage,Paved,RM,472863,135104,13510380,2011,1992,13.51
3282,Chrompet,1245,2007-01-01,134,2,1,4,Family,Yes,1968-11-01,Commercial,ELO,No Access,RL,355260,136639,13663850,2007,1968,13.66
3283,Karapakkam,1563,2011-11-05,192,2,2,4,Family,No,1982-05-18,House,No Sewage,Paved,C,210537,80499,6192250,2011,1982,6.19
3284,Chrompet,725,2014-11-01,3,1,1,2,Abnormal,No,2002-01-14,House,No Sewage,No Access,RM,184444,120598,7094000,2014,2002,7.09
3285,KK Nagar,2442,2008-08-06,71,4,2,6,Abnormal,No,1997-11-06,Others,No Sewage,Gravel,RH,390242,201415,12588460,2008,1997,12.59
3286,Chrompet,1110,2010-02-11,141,1,1,3,Family,Yes,1994-06-11,Others,All Pub,Gravel,RL,344170,75287,10755300,2010,1994,10.76
3287,Karapakkam,559,2010-03-25,68,1,1,2,Abnormal,Yes,1974-03-04,House,No Sewage,No Access,RL,237534,64782,5398500,2010,1974,5.4
3288,Anna Nagar,1708,2008-08-24,81,1,1,4,Abnormal,Yes,1989-08-29,Commercial,All Pub,Gravel,RM,535162,214065,21406480,2008,1989,21.41
3289,Karapakkam,829,2010-12-07,146,1,1,2,Adj Land,Yes,2002-07-14,Commercial,No Sewage,Gravel,C,410544,179613,8553000,2010,2002,8.55
3290,Anna Nagar,1744,2007-09-24,155,1,1,4,Family,No,1975-02-10,Commercial,ELO,Paved,RH,688400,144926,18115790,2007,1975,18.12
3291,T Nagar,1649,2013-08-01,66,1,1,4,Family,Yes,1994-01-13,Others,No Sewage,No Access,RH,397976,174115,12436750,2013,1994,12.44
3292,KK Nagar,1323,2009-01-01,49,1,1,3,partial,No,1997-04-01,Commercial,All Pub,Paved,RL,381281,297876,11915040,2009,1997,11.92
3293,Velachery,1864,2005-01-19,110,3,2,5,Adj Land,No,1990-01-23,House,ELO,Gravel,RM,406564,180695,11293450,2005,1990,11.29
3294,Velachery,1514,2008-09-24,93,2,1,4,Abnormal,Yes,2000-09-26,Others,No Sewage,Paved,RL,385017,192508,10694910,2008,2000,10.69
3295,Anna Nagar,1669,2013-08-20,54,1,1,4,Adj Land,No,2008-08-21,House,All Pub,Gravel,RL,351595,104176,13022050,2013,2008,13.02
3296,Anna Nagar,1993,2015-02-16,69,2,1,5,Adj Land,Yes,2001-02-19,Others,No Sewage,Gravel,RH,410238,142005,15778370,2015,2001,15.78
3297,Karapakkam,1459,2010-07-31,3,2,2,4,Abnormal,Yes,1991-05-08,Others,No Sewage,No Access,RM,406818,113531,9460875,2010,1991,9.46
3298,KK Nagar,2136,2009-03-28,149,3,2,5,partial,Yes,1995-01-04,Others,No Sewage,Paved,RM,401983,129672,12967200,2009,1995,12.97
3299,Karapakkam,1165,2009-11-10,39,1,1,3,Adj Land,Yes,1994-10-15,Others,ELO,Gravel,C,317420,128480,7557625,2009,1994,7.56
3300,Adyar,1132,2007-04-11,64,1,1,3,Normal Sale,Yes,1968-11-13,House,No Sewage,No Access,I,298383,47113,7852185,2007,1968,7.85
3301,Karapakkam,813,2011-02-01,99,1,1,2,Adj Land,No,1965-01-13,House,No Sewage,Gravel,A,172118,96554,4198000,2011,1965,4.2
3302,Chrompet,815,2011-12-31,139,1,1,3,Adj Land,Yes,1980-08-01,Commercial,No Sewage,Gravel,RH,299473,103664,11518200,2011,1980,11.52
3303,Chrompet,1277,2014-12-27,19,2,1,4,partial,No,1998-12-31,Commercial,ELO,Paved,RM,432216,72036,14407200,2014,1998,14.41
3304,Chrompet,1028,2008-08-02,54,1,1,3,partial,No,1985-02-13,Commercial,No Sewage,Paved,RH,324975,145679,11206050,2008,1985,11.21
3305,Anna Nagar,1572,2009-09-06,94,1,1,4,Abnormal,No,1986-06-15,Others,ELO,No Access,RM,402827,219724,12206870,2009,1986,12.21
3306,Velachery,1507,2007-09-12,2,2,1,4,Abnormal,No,1957-12-21,House,All Pub,Gravel,I,273256,101495,7807300,2007,1957,7.81
3307,Chrompet,1002,2006-10-30,70,1,1,3,Abnormal,Yes,1998-01-11,Others,No Sewage,No Access,RM,327615,168772,9927740,2006,1998,9.93
3308,Adyar,1023,2009-11-08,102,1,1,3,Normal Sale,No,1981-08-18,Commercial,No Sewage,Paved,C,367619,75686,10812320,2009,1981,10.81
3309,Velachery,1506,2005-02-01,65,2,1,4,Abnormal,Yes,1952-01-16,House,No Sewage,Gravel,C,235863,125794,7862110,2005,1952,7.86
3310,KK Nagar,1348,2010-08-08,139,2,1,4,Normal Sale,No,2003-10-08,House,No Sewage,Paved,RH,346920,78845,7884540,2010,2003,7.88
3311,Chrompet,1125,2014-01-31,67,1,1,3,Adj Land,No,1997-04-02,Commercial,ELO,No Access,RM,403680,78132,13021950,2014,1997,13.02
3312,Chrompet,1066,2008-02-15,184,1,1,3,Adj Land,No,1987-02-20,Others,No Sewage,Gravel,RM,327948,153726,10248370,2008,1987,10.25
3313,Velachery,1797,2006-01-25,96,2,1,4,Adj Land,Yes,1985-01-30,Commercial,ELO,Paved,RL,653961,326980,16349020,2006,1985,16.35
3314,KK Nagar,1459,2011-10-20,32,2,1,4,Family,No,1990-10-25,House,No Sewage,Paved,RL,299830,166572,8328620,2011,1990,8.33
3315,Karapakkam,604,2010-02-02,17,1,1,2,partial,Yes,1982-09-02,Commercial,No Sewage,Gravel,C,201407,90958,6497000,2010,1982,6.5
3316,Velachery,1808,2010-10-21,12,3,2,5,Family,No,1955-04-11,Commercial,No Sewage,No Access,RL,542034,138983,13898300,2010,1955,13.9
3317,Chrompet,732,2013-07-04,0,1,1,2,Abnormal,Yes,2003-10-04,Commercial,ELO,No Access,RM,347126,184411,10847700,2013,2003,10.85
3318,Chrompet,1205,2010-05-23,141,2,1,4,Adj Land,No,1988-05-28,Others,No Sewage,Gravel,RL,333298,145818,10415550,2010,1988,10.42
3319,Karapakkam,712,2010-04-26,67,1,1,2,Abnormal,No,1981-03-05,Commercial,No Sewage,Gravel,RH,258291,147595,7379750,2010,1981,7.38
3320,T Nagar,1710,2014-06-12,194,1,1,4,Abnormal,No,2008-07-12,Others,No Sewage,Gravel,RL,373656,83035,13839120,2014,2008,13.84
3321,Chrompet,1154,2014-05-25,2,1,1,3,partial,No,1998-05-29,House,No Sewage,Paved,RH,232026,69608,7734200,2014,1998,7.73
3322,Anna Nagar,1783,2011-08-16,14,1,1,4,Adj Land,Yes,1988-08-21,House,ELO,No Access,RH,436176,230204,12116010,2011,1988,12.12
3323,Karapakkam,1221,2011-01-31,180,1,1,3,Normal Sale,Yes,2003-02-02,Others,No Sewage,No Access,RL,255483,197793,8241375,2011,2003,8.24
3324,Karapakkam,752,2010-08-07,158,1,1,2,partial,Yes,1972-07-17,Commercial,All Pub,Paved,RM,307513,72356,9044500,2010,1972,9.04
3325,Velachery,1906,2009-09-07,6,3,2,5,Family,No,1955-07-23,Others,No Sewage,Gravel,C,280487,117624,9047980,2009,1955,9.05
3326,Karapakkam,1119,2012-05-03,59,1,1,3,Family,Yes,1998-09-03,Others,No Sewage,Gravel,A,320785,111293,6546625,2012,1998,6.55
3327,Chrompet,865,2013-11-15,33,1,1,3,Abnormal,No,1989-11-21,Commercial,All Pub,Gravel,RH,357951,130164,10847000,2013,1989,10.85
3328,Chrompet,1224,2012-03-29,153,2,1,4,Family,No,1982-06-04,House,All Pub,Gravel,RH,246380,96792,8799300,2012,1982,8.8
3329,T Nagar,1520,2012-02-06,197,1,1,4,Abnormal,Yes,1969-06-13,Commercial,ELO,Paved,RH,680262,244197,17442610,2012,1969,17.44
3330,Karapakkam,1070,2010-01-23,2,1,1,3,Family,Yes,2001-01-25,House,All Pub,No Access,C,199596,74136,5702750,2010,2001,5.7
3331,Anna Nagar,1719,2013-06-17,126,1,1,4,Abnormal,No,1993-06-22,Others,All Pub,Gravel,RL,411427,164571,13714220,2013,1993,13.71
3332,Chrompet,752,2013-02-07,116,1,1,2,Normal Sale,No,1973-12-07,Others,No Sewage,Paved,RM,246248,23086,7695240,2013,1973,7.7
3333,Karapakkam,1624,2010-04-04,64,2,2,4,Family,No,1968-04-14,Others,No Sewage,Gravel,I,374520,78025,7802500,2010,1968,7.8
3334,Velachery,1590,2006-08-26,59,2,1,4,Adj Land,No,1970-04-09,Others,ELO,Gravel,RM,412633,184599,10858770,2006,1970,10.86
3335,Chrompet,779,2014-04-16,35,1,1,2,Normal Sale,Yes,1986-04-23,House,No Sewage,Gravel,RM,261267,36037,9009200,2014,1986,9.01
3336,Velachery,1789,2010-03-10,98,2,1,4,Adj Land,Yes,1979-11-10,Others,No Sewage,Gravel,RM,389499,251289,12564470,2010,1979,12.56
3337,Adyar,926,2012-03-15,169,1,1,3,Normal Sale,Yes,2001-03-18,House,No Sewage,Gravel,I,282018,96944,8813065,2012,2001,8.81
3338,Chrompet,998,2011-05-13,51,1,1,3,partial,No,1975-05-22,House,No Sewage,No Access,RH,173807,55867,6207400,2011,1975,6.21
3339,Chrompet,887,2010-12-12,95,1,1,3,Abnormal,No,1992-12-16,Commercial,No Sewage,Paved,RH,270704,156176,10411700,2010,1992,10.41
3340,Chrompet,721,2008-05-25,161,1,1,2,partial,Yes,1999-05-28,House,No Sewage,No Access,RL,201475,50369,7195550,2008,1999,7.2
3341,Velachery,1784,2004-11-19,11,2,1,4,Adj Land,Yes,1986-11-24,House,No Sewage,Gravel,RH,403077,185197,10893960,2004,1986,10.89
3342,Karapakkam,907,2011-09-15,142,1,1,3,partial,Yes,1967-09-26,Commercial,No Sewage,Paved,C,314803,146420,7321000,2011,1967,7.32
3343,KK Nagar,1997,2009-06-02,135,3,2,5,Family,Yes,1999-09-02,Others,All Pub,Paved,RM,488967,205881,12867540,2009,1999,12.87
3344,Anna Nagar,1933,2013-08-12,118,2,1,5,Adj Land,Yes,1974-12-18,Commercial,ELO,Gravel,RH,741521,130857,21809430,2013,1974,21.81
3345,Velachery,1953,2007-05-11,165,3,2,5,Adj Land,Yes,1995-08-11,Commercial,No Sewage,Gravel,C,527849,247429,16495290,2007,1995,16.5
3346,Chrompet,913,2011-12-18,108,1,1,3,Abnormal,Yes,1992-12-22,Commercial,No Sewage,No Access,RM,393442,98360,12295050,2011,1992,12.3
